doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,0.0,2020-12-21
0.0,0.0,2020-12-22
0.0,0.0,2020-12-23
0.0,0.0,2020-12-24
0.0,0.0,2020-12-25
0.0,0.0,2020-12-26
0.0,0.0,2020-12-27
0.0,0.0,2020-12-28
0.0,0.0,2020-12-29
0.0,0.0,2020-12-30
0.0,0.0,2020-12-31
0.0,0.0,2021-01-01
0.0,0.0,2021-01-02
0.0,0.0,2021-01-03
0.0,1851.857142857143,2021-01-04
0.0,3580.0,2021-01-05
0.0,5434.0,2021-01-06
12963.0,6751.714285714285,2021-01-07
12097.0,7259.142857142857,2021-01-08
12978.0,9214.42857142857,2021-01-09
9224.0,12530.0,2021-01-10
3552.0,14817.57142857143,2021-01-11
13687.0,15147.857142857143,2021-01-12
23209.0,17793.85714285714,2021-01-13
28976.0,17489.428571428572,2021-01-14
14409.0,18489.428571428572,2021-01-15
31500.0,16534.14285714286,2021-01-16
7093.0,15520.714285714286,2021-01-17
10552.0,14609.714285714286,2021-01-18
0.0,16412.571428571428,2021-01-19
16115.0,16734.14285714286,2021-01-20
22599.0,20228.85714285714,2021-01-21
27029.0,22449.85714285714,2021-01-22
33751.0,25313.0,2021-01-23
31556.0,26993.285714285714,2021-01-24
26099.0,28305.85714285714,2021-01-25
20042.0,29678.14285714286,2021-01-26
27877.0,30217.714285714286,2021-01-27
31787.0,31075.0,2021-01-28
36635.0,31615.571428571428,2021-01-29
37528.0,30436.0,2021-01-30
37557.0,30903.714285714286,2021-01-31
29883.0,31245.714285714286,2021-02-01
11785.0,30224.285714285714,2021-02-02
31151.0,32933.28571428572,2021-02-03
34181.0,33148.71428571428,2021-02-04
29485.0,28879.714285714286,2021-02-05
56491.0,35521.857142857145,2021-02-06
39065.0,31071.714285714286,2021-02-07
0.0,44114.142857142855,2021-02-08
58280.0,47113.71428571428,2021-02-09
0.0,39043.57142857143,2021-02-10
125478.0,47064.57142857143,2021-02-11
50482.0,50748.57142857143,2021-02-12
0.0,42422.857142857145,2021-02-13
95212.0,52983.857142857145,2021-02-14
25788.0,42026.42857142857,2021-02-15
0.0,41570.28571428572,2021-02-16
73927.0,47574.42857142857,2021-02-17
48776.0,38881.57142857143,2021-02-18
47289.0,37692.42857142857,2021-02-19
42029.0,44095.42857142857,2021-02-20
34362.0,37408.28571428572,2021-02-21
17464.0,37675.57142857143,2021-02-22
44821.0,31489.428571428572,2021-02-23
27117.0,34592.42857142857,2021-02-24
50647.0,37818.57142857143,2021-02-25
3986.0,44496.28571428572,2021-02-26
63750.0,46209.28571428572,2021-02-27
56945.0,48118.71428571428,2021-02-28
64208.0,46777.28571428572,2021-03-01
56812.0,53197.857142857145,2021-03-02
40483.0,52475.57142857143,2021-03-03
41257.0,50244.57142857143,2021-03-04
48930.0,60396.0,2021-03-05
58694.0,52280.0,2021-03-06
41328.0,50873.142857142855,2021-03-07
135268.0,51794.28571428572,2021-03-08
0.0,52920.71428571428,2021-03-09
30635.0,54234.857142857145,2021-03-10
47705.0,68239.85714285714,2021-03-11
