doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,0.0,2020-12-21
0.0,0.0,2020-12-22
0.0,0.0,2020-12-23
0.0,0.0,2020-12-24
0.0,0.0,2020-12-25
0.0,0.0,2020-12-26
0.0,0.0,2020-12-27
0.0,0.0,2020-12-28
0.0,0.0,2020-12-29
0.0,0.0,2020-12-30
0.0,0.0,2020-12-31
0.0,0.0,2021-01-01
0.0,0.0,2021-01-02
0.0,0.0,2021-01-03
0.0,7844.857142857143,2021-01-04
0.0,9209.285714285714,2021-01-05
0.0,10513.42857142857,2021-01-06
54914.0,11039.57142857143,2021-01-07
9551.0,11510.0,2021-01-08
9129.0,12761.857142857143,2021-01-09
3683.0,14689.42857142857,2021-01-10
3293.0,8265.42857142857,2021-01-11
8763.0,7955.857142857143,2021-01-12
13493.0,7685.142857142857,2021-01-13
9946.0,8004.285714285715,2021-01-14
7384.0,7998.428571428572,2021-01-15
7234.0,6746.571428571428,2021-01-16
5917.0,6772.714285714285,2021-01-17
3252.0,7820.428571428572,2021-01-18
0.0,8849.857142857143,2021-01-19
13676.0,9917.57142857143,2021-01-20
17280.0,10680.714285714286,2021-01-21
14590.0,11198.857142857143,2021-01-22
14708.0,11577.57142857143,2021-01-23
11259.0,11412.142857142857,2021-01-24
6879.0,11368.714285714286,2021-01-25
2651.0,11653.857142857143,2021-01-26
12518.0,12016.42857142857,2021-01-27
16976.0,12552.285714285714,2021-01-28
16586.0,12658.142857142857,2021-01-29
17246.0,12701.57142857143,2021-01-30
15010.0,12041.142857142857,2021-01-31
7620.0,11846.714285714286,2021-02-01
2955.0,11446.285714285714,2021-02-02
7895.0,12190.57142857143,2021-02-03
15615.0,12712.285714285714,2021-02-04
13783.0,12794.42857142857,2021-02-05
22456.0,13021.57142857143,2021-02-06
18662.0,13529.714285714286,2021-02-07
8195.0,13121.42857142857,2021-02-08
4545.0,13475.42857142857,2021-02-09
11452.0,11706.57142857143,2021-02-10
12757.0,11187.57142857143,2021-02-11
16261.0,11069.142857142857,2021-02-12
10074.0,10912.0,2021-02-13
15029.0,10046.0,2021-02-14
7366.0,9109.42857142857,2021-02-15
3445.0,7377.428571428572,2021-02-16
5390.0,9294.714285714286,2021-02-17
6201.0,7666.714285714285,2021-02-18
4137.0,7694.857142857143,2021-02-19
23495.0,8877.714285714286,2021-02-20
3633.0,7291.571428571428,2021-02-21
7563.0,9052.142857142857,2021-02-22
11725.0,12106.142857142857,2021-02-23
-5713.0,11531.285714285714,2021-02-24
18525.0,14537.285714285714,2021-02-25
25515.0,17263.428571428572,2021-02-26
19471.0,17340.0,2021-02-27
24675.0,19476.571428571428,2021-02-28
26646.0,19204.14285714286,2021-03-01
12261.0,17978.428571428572,2021-03-02
9243.0,17966.571428571428,2021-03-03
16618.0,17353.428571428572,2021-03-04
16935.0,17720.85714285714,2021-03-05
19388.0,17311.14285714286,2021-03-06
20383.0,15990.714285714286,2021-03-07
29218.0,15964.42857142857,2021-03-08
9393.0,13674.714285714286,2021-03-09
0.0,16121.714285714286,2021-03-10
16434.0,19784.428571428572,2021-03-11
