doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,0.0,2020-12-21
0.0,0.0,2020-12-22
0.0,0.0,2020-12-23
0.0,0.0,2020-12-24
0.0,0.0,2020-12-25
0.0,0.0,2020-12-26
0.0,0.0,2020-12-27
0.0,0.0,2020-12-28
0.0,0.0,2020-12-29
0.0,0.0,2020-12-30
0.0,0.0,2020-12-31
0.0,0.0,2021-01-01
0.0,0.0,2021-01-02
0.0,0.0,2021-01-03
0.0,67.14285714285714,2021-01-04
0.0,67.14285714285714,2021-01-05
0.0,67.14285714285714,2021-01-06
470.0,67.14285714285714,2021-01-07
0.0,67.14285714285714,2021-01-08
0.0,67.14285714285714,2021-01-09
0.0,2198.0,2021-01-10
0.0,2130.8571428571427,2021-01-11
0.0,2130.8571428571427,2021-01-12
14916.0,2130.8571428571427,2021-01-13
0.0,2130.8571428571427,2021-01-14
0.0,2130.8571428571427,2021-01-15
0.0,2130.8571428571427,2021-01-16
0.0,0.0,2021-01-17
0.0,4244.142857142857,2021-01-18
0.0,4244.142857142857,2021-01-19
0.0,7659.571428571428,2021-01-20
29709.0,7659.571428571428,2021-01-21
0.0,7659.571428571428,2021-01-22
23908.0,9466.857142857143,2021-01-23
0.0,9917.42857142857,2021-01-24
0.0,7190.857142857143,2021-01-25
12651.0,8189.142857142857,2021-01-26
3154.0,6156.714285714285,2021-01-27
10623.0,6156.714285714285,2021-01-28
6988.0,6156.714285714285,2021-01-29
9681.0,6414.857142857143,2021-01-30
0.0,7102.571428571428,2021-01-31
0.0,7324.857142857143,2021-02-01
14458.0,7755.0,2021-02-02
7968.0,7478.0,2021-02-03
12179.0,7478.0,2021-02-04
9999.0,7478.0,2021-02-05
7742.0,7234.571428571428,2021-02-06
0.0,7246.285714285715,2021-02-07
0.0,6756.0,2021-02-08
12754.0,6528.142857142857,2021-02-09
8050.0,6743.285714285715,2021-02-10
8747.0,6743.285714285715,2021-02-11
8404.0,6743.285714285715,2021-02-12
9248.0,4921.285714285715,2021-02-13
0.0,7385.714285714285,2021-02-14
0.0,7061.571428571428,2021-02-15
0.0,7028.857142857143,2021-02-16
25301.0,9245.714285714286,2021-02-17
6478.0,10868.714285714286,2021-02-18
8175.0,12331.0,2021-02-19
24766.0,13850.0,2021-02-20
11361.0,10235.57142857143,2021-02-21
10236.0,10191.857142857143,2021-02-22
10633.0,10327.714285714286,2021-02-23
0.0,8248.42857142857,2021-02-24
6172.0,8288.0,2021-02-25
9126.0,8547.42857142857,2021-02-26
10211.0,8006.428571428572,2021-02-27
11638.0,8453.142857142857,2021-02-28
12052.0,8489.142857142857,2021-03-01
6846.0,8909.57142857143,2021-03-02
3127.0,8984.0,2021-03-03
6424.0,9085.285714285714,2021-03-04
12069.0,10027.142857142857,2021-03-05
10732.0,9049.142857142857,2021-03-06
12347.0,10189.857142857143,2021-03-07
18645.0,10952.0,2021-03-08
0.0,11145.57142857143,2021-03-09
11112.0,11640.857142857143,2021-03-10
11759.0,13384.57142857143,2021-03-11
13424.0,10721.0,2021-03-12
14199.0,12178.142857142857,2021-03-13
