doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,0.0,2020-12-21
0.0,0.0,2020-12-22
0.0,0.0,2020-12-23
0.0,0.0,2020-12-24
0.0,0.0,2020-12-25
0.0,0.0,2020-12-26
0.0,0.0,2020-12-27
0.0,0.0,2020-12-28
0.0,0.0,2020-12-29
0.0,0.0,2020-12-30
0.0,0.0,2020-12-31
0.0,0.0,2021-01-01
0.0,0.0,2021-01-02
0.0,0.0,2021-01-03
0.0,0.0,2021-01-04
0.0,0.0,2021-01-05
0.0,0.0,2021-01-06
0.0,0.0,2021-01-07
0.0,0.0,2021-01-08
0.0,0.0,2021-01-09
0.0,4409.571428571428,2021-01-10
0.0,8643.57142857143,2021-01-11
0.0,13365.285714285714,2021-01-12
30867.0,16766.571428571428,2021-01-13
29638.0,19035.571428571428,2021-01-14
33052.0,20253.14285714286,2021-01-15
23809.0,20253.14285714286,2021-01-16
15883.0,17724.85714285714,2021-01-17
8523.0,17634.85714285714,2021-01-18
0.0,17863.0,2021-01-19
13169.0,20788.571428571428,2021-01-20
29008.0,24397.14285714286,2021-01-21
34649.0,26558.571428571428,2021-01-22
44288.0,28171.428571428572,2021-01-23
41143.0,30180.428571428572,2021-01-24
23653.0,33697.57142857143,2021-01-25
11290.0,36728.42857142857,2021-01-26
27232.0,38738.28571428572,2021-01-27
53628.0,41045.28571428572,2021-01-28
55865.0,42930.71428571428,2021-01-29
58357.0,43378.142857142855,2021-01-30
57292.0,50440.142857142855,2021-01-31
36851.0,47849.71428571428,2021-02-01
14422.0,49840.142857142855,2021-02-02
76666.0,51382.28571428572,2021-02-03
35495.0,54975.142857142855,2021-02-04
69798.0,59942.42857142857,2021-02-05
69152.0,65897.57142857143,2021-02-06
82442.0,57814.857142857145,2021-02-07
71622.0,61601.42857142857,2021-02-08
56108.0,60923.0,2021-02-09
20087.0,89825.14285714286,2021-02-10
62001.0,90328.42857142857,2021-02-11
65049.0,89494.14285714286,2021-02-12
271467.0,87777.14285714286,2021-02-13
85965.0,91022.14285714286,2021-02-14
65782.0,65188.28571428572,2021-02-15
44089.0,61794.0,2021-02-16
42802.0,42606.0,2021-02-17
-118836.0,42745.71428571428,2021-02-18
41289.0,44500.28571428572,2021-02-19
137151.0,49128.71428571428,2021-02-20
86943.0,43014.142857142855,2021-02-21
78064.0,66469.42857142857,2021-02-22
76488.0,68865.57142857143,2021-02-23
0.0,66469.57142857143,2021-02-24
45351.0,67681.14285714286,2021-02-25
58062.0,69237.57142857143,2021-02-26
120379.0,70074.42857142857,2021-02-27
95424.0,77559.0,2021-02-28
88959.0,80142.85714285714,2021-03-01
82346.0,84036.0,2021-03-02
52392.0,80655.42857142857,2021-03-03
63438.0,86538.71428571429,2021-03-04
85314.0,106799.85714285714,2021-03-05
96715.0,99215.71428571429,2021-03-06
136607.0,91731.14285714286,2021-03-07
230787.0,92887.28571428571,2021-03-08
29257.0,95718.85714285714,2021-03-09
0.0,102979.57142857143,2021-03-10
71531.0,122349.85714285714,2021-03-11
105135.0,89380.28571428571,2021-03-12
