doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,0.0,2020-12-21
0.0,0.0,2020-12-22
0.0,0.0,2020-12-23
0.0,0.0,2020-12-24
0.0,0.0,2020-12-25
0.0,0.0,2020-12-26
0.0,0.0,2020-12-27
0.0,0.0,2020-12-28
0.0,0.0,2020-12-29
0.0,0.0,2020-12-30
0.0,0.0,2020-12-31
0.0,0.0,2021-01-01
0.0,0.0,2021-01-02
0.0,7538.428571428572,2021-01-03
0.0,7538.428571428572,2021-01-04
0.0,7538.428571428572,2021-01-05
52769.0,7538.428571428572,2021-01-06
0.0,7538.428571428572,2021-01-07
0.0,20202.428571428572,2021-01-08
0.0,22845.14285714286,2021-01-09
0.0,18793.571428571428,2021-01-10
88648.0,22661.14285714286,2021-01-11
18499.0,26226.0,2021-01-12
24408.0,30042.0,2021-01-13
27073.0,32717.428571428572,2021-01-14
24954.0,21265.0,2021-01-15
26712.0,18622.285714285714,2021-01-16
18728.0,18455.14285714286,2021-01-17
8481.0,18747.571428571428,2021-01-18
0.0,19680.714285714286,2021-01-19
23238.0,20204.714285714286,2021-01-20
29120.0,22245.714285714286,2021-01-21
31486.0,23812.85714285714,2021-01-22
30380.0,24961.0,2021-01-23
33015.0,25317.571428571428,2021-01-24
19451.0,24529.85714285714,2021-01-25
8037.0,25058.85714285714,2021-01-26
25734.0,23740.0,2021-01-27
23606.0,25142.428571428572,2021-01-28
35189.0,24702.571428571428,2021-01-29
21148.0,23554.428571428572,2021-01-30
42832.0,25103.428571428572,2021-01-31
16372.0,26768.428571428572,2021-02-01
0.0,27299.428571428572,2021-02-02
36577.0,29394.571428571428,2021-02-03
35261.0,28332.428571428572,2021-02-04
38906.0,29373.14285714286,2021-02-05
35814.0,31089.0,2021-02-06
35397.0,30968.571428571428,2021-02-07
23657.0,31022.428571428572,2021-02-08
12011.0,31931.571428571428,2021-02-09
35734.0,32528.85714285714,2021-02-10
35638.0,33219.57142857143,2021-02-11
45270.0,33073.857142857145,2021-02-12
39995.0,32891.42857142857,2021-02-13
40232.0,30929.571428571428,2021-02-14
22637.0,27995.0,2021-02-15
10734.0,26952.14285714286,2021-02-16
22001.0,27070.0,2021-02-17
15096.0,26396.85714285714,2021-02-18
37970.0,26229.285714285714,2021-02-19
40820.0,25669.85714285714,2021-02-20
35520.0,27036.14285714286,2021-02-21
21464.0,30401.714285714286,2021-02-22
6818.0,32949.142857142855,2021-02-23
31565.0,33652.57142857143,2021-02-24
38655.0,35279.0,2021-02-25
55802.0,37698.28571428572,2021-02-26
45744.0,40267.857142857145,2021-02-27
46905.0,37105.42857142857,2021-02-28
38399.0,36310.0,2021-03-01
24805.0,34034.28571428572,2021-03-02
9428.0,34797.57142857143,2021-03-03
33087.0,35551.0,2021-03-04
39872.0,41329.28571428572,2021-03-05
51087.0,37785.71428571428,2021-03-06
52179.0,38324.0,2021-03-07
78847.0,39535.42857142857,2021-03-08
0.0,40219.857142857145,2021-03-09
13196.0,40240.42857142857,2021-03-10
41567.0,46632.42857142857,2021-03-11
44663.0,35368.57142857143,2021-03-12
