doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,336.14285714285717,2020-12-20
0.0,336.14285714285717,2020-12-21
0.0,336.14285714285717,2020-12-22
2353.0,336.14285714285717,2020-12-23
0.0,336.14285714285717,2020-12-24
0.0,336.14285714285717,2020-12-25
0.0,2871.285714285714,2020-12-26
0.0,3312.0,2020-12-27
0.0,3312.0,2020-12-28
17746.0,3312.0,2020-12-29
5438.0,3312.0,2020-12-30
0.0,3312.0,2020-12-31
0.0,7031.714285714285,2021-01-01
0.0,5377.714285714285,2021-01-02
0.0,6139.0,2021-01-03
26038.0,8366.0,2021-01-04
6168.0,10489.0,2021-01-05
10767.0,10489.0,2021-01-06
15589.0,10489.0,2021-01-07
14861.0,9991.57142857143,2021-01-08
0.0,10579.142857142857,2021-01-09
0.0,10878.42857142857,2021-01-10
22556.0,11371.285714285714,2021-01-11
10281.0,11821.142857142857,2021-01-12
12862.0,11821.142857142857,2021-01-13
19039.0,11821.142857142857,2021-01-14
18010.0,11887.42857142857,2021-01-15
0.0,10418.714285714286,2021-01-16
0.0,9706.0,2021-01-17
23020.0,8512.857142857143,2021-01-18
0.0,8617.142857142857,2021-01-19
7873.0,8617.142857142857,2021-01-20
10687.0,11004.285714285714,2021-01-21
18740.0,7715.714285714285,2021-01-22
0.0,13606.42857142857,2021-01-23
16710.0,14024.0,2021-01-24
0.0,15197.0,2021-01-25
41235.0,16008.142857142857,2021-01-26
10796.0,18764.571428571428,2021-01-27
18898.0,18955.714285714286,2021-01-28
24418.0,20317.14285714286,2021-01-29
19295.0,14926.857142857143,2021-01-30
18048.0,15888.142857142857,2021-01-31
9530.0,13842.0,2021-02-01
3503.0,13265.57142857143,2021-02-02
17525.0,14508.285714285714,2021-02-03
4575.0,16700.14285714286,2021-02-04
20383.0,19792.14285714286,2021-02-05
27994.0,21626.0,2021-02-06
33391.0,19690.428571428572,2021-02-07
31174.0,21363.85714285714,2021-02-08
16340.0,21773.571428571428,2021-02-09
3976.0,21820.14285714286,2021-02-10
16289.0,18948.85714285714,2021-02-11
23251.0,18632.285714285714,2021-02-12
28320.0,16298.0,2021-02-13
13292.0,20418.571428571428,2021-02-14
28958.0,19272.85714285714,2021-02-15
0.0,16852.85714285714,2021-02-16
32820.0,20370.14285714286,2021-02-17
8269.0,21020.285714285714,2021-02-18
6311.0,20748.428571428572,2021-02-19
52941.0,24667.428571428572,2021-02-20
17843.0,19978.85714285714,2021-02-21
27055.0,22140.428571428572,2021-02-22
27433.0,25952.571428571428,2021-02-23
0.0,23722.714285714286,2021-02-24
23400.0,26253.571428571428,2021-02-25
32996.0,28005.428571428572,2021-02-26
37332.0,27913.571428571428,2021-02-27
35559.0,29970.85714285714,2021-02-28
39318.0,29626.85714285714,2021-03-01
26790.0,29933.285714285714,2021-03-02
14401.0,31075.14285714286,2021-03-03
20992.0,32688.428571428572,2021-03-04
35141.0,37687.857142857145,2021-03-05
45325.0,35287.42857142857,2021-03-06
46852.0,33230.142857142855,2021-03-07
74314.0,33797.142857142855,2021-03-08
9987.0,34242.71428571428,2021-03-09
