doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,1522.5714285714287,2020-12-20
0.0,1522.5714285714287,2020-12-21
0.0,1522.5714285714287,2020-12-22
10658.0,1522.5714285714287,2020-12-23
0.0,1522.5714285714287,2020-12-24
0.0,1522.5714285714287,2020-12-25
0.0,2265.8571428571427,2020-12-26
0.0,743.2857142857143,2020-12-27
0.0,743.2857142857143,2020-12-28
5203.0,1789.0,2020-12-29
0.0,1789.0,2020-12-30
0.0,1789.0,2020-12-31
7320.0,1789.0,2021-01-01
0.0,2640.4285714285716,2021-01-02
0.0,2640.4285714285716,2021-01-03
0.0,6230.857142857143,2021-01-04
11163.0,5185.142857142857,2021-01-05
0.0,5185.142857142857,2021-01-06
25133.0,5185.142857142857,2021-01-07
0.0,5185.142857142857,2021-01-08
0.0,14749.42857142857,2021-01-09
0.0,14749.42857142857,2021-01-10
0.0,17113.14285714286,2021-01-11
78113.0,17113.14285714286,2021-01-12
0.0,17113.14285714286,2021-01-13
41679.0,17113.14285714286,2021-01-14
0.0,17113.14285714286,2021-01-15
0.0,5954.142857142857,2021-01-16
0.0,15431.714285714286,2021-01-17
0.0,9477.57142857143,2021-01-18
0.0,14277.0,2021-01-19
66343.0,16135.857142857143,2021-01-20
0.0,16135.857142857143,2021-01-21
33596.0,16135.857142857143,2021-01-22
13012.0,16135.857142857143,2021-01-23
0.0,12882.0,2021-01-24
0.0,12882.0,2021-01-25
0.0,13722.142857142857,2021-01-26
43566.0,11863.285714285714,2021-01-27
0.0,11863.285714285714,2021-01-28
39477.0,11863.285714285714,2021-01-29
0.0,11863.285714285714,2021-01-30
0.0,18544.428571428572,2021-01-31
0.0,18723.714285714286,2021-02-01
0.0,19659.14285714286,2021-02-02
90334.0,19861.85714285714,2021-02-03
1255.0,24765.714285714286,2021-02-04
46025.0,28938.571428571428,2021-02-05
1419.0,30952.85714285714,2021-02-06
34327.0,21379.428571428572,2021-02-07
29210.0,21437.0,2021-02-08
14100.0,23478.428571428572,2021-02-09
23320.0,23529.428571428572,2021-02-10
1658.0,23555.85714285714,2021-02-11
60315.0,24173.428571428572,2021-02-12
1776.0,24135.85714285714,2021-02-13
34512.0,21087.85714285714,2021-02-14
33533.0,21793.571428571428,2021-02-15
13837.0,16232.57142857143,2021-02-16
1984.0,22636.428571428572,2021-02-17
6598.0,20294.428571428572,2021-02-18
21388.0,17909.14285714286,2021-02-19
46603.0,17763.14285714286,2021-02-20
18118.0,17479.714285714286,2021-02-21
16836.0,18460.0,2021-02-22
12815.0,18636.714285714286,2021-02-23
0.0,16952.714285714286,2021-02-24
13460.0,20242.571428571428,2021-02-25
22625.0,23208.0,2021-02-26
34815.0,24177.428571428572,2021-02-27
41147.0,25309.285714285714,2021-02-28
37594.0,26690.285714285714,2021-03-01
19601.0,27950.285714285714,2021-03-02
7923.0,28700.571428571428,2021-03-03
23127.0,22933.428571428572,2021-03-04
31445.0,31559.14285714286,2021-03-05
40067.0,28759.0,2021-03-06
777.0,28836.285714285714,2021-03-07
97974.0,28807.571428571428,2021-03-08
0.0,28794.14285714286,2021-03-09
