doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,819.5714285714286,2020-12-19
0.0,1546.4285714285713,2020-12-20
0.0,1919.5714285714287,2020-12-21
5737.0,1996.0,2020-12-22
5088.0,2114.714285714286,2020-12-23
2612.0,2130.8571428571427,2020-12-24
535.0,2130.8571428571427,2020-12-25
831.0,1661.857142857143,2020-12-26
113.0,1491.142857142857,2020-12-27
0.0,1631.5714285714287,2020-12-28
2454.0,2091.5714285714284,2020-12-29
3893.0,2146.1428571428573,2020-12-30
3595.0,2259.285714285714,2020-12-31
3755.0,2320.714285714286,2021-01-01
1213.0,2271.714285714286,2021-01-02
905.0,1715.5714285714287,2021-01-03
430.0,2170.714285714286,2021-01-04
2111.0,2250.8571428571427,2021-01-05
0.0,2890.5714285714284,2021-01-06
6781.0,3080.285714285714,2021-01-07
4316.0,3192.8571428571427,2021-01-08
5691.0,3221.0,2021-01-09
2233.0,3781.1428571428573,2021-01-10
1218.0,3452.8571428571427,2021-01-11
2308.0,3370.714285714286,2021-01-12
3921.0,3211.5714285714284,2021-01-13
4483.0,3361.0,2021-01-14
3741.0,3339.1428571428573,2021-01-15
4577.0,3009.4285714285716,2021-01-16
3279.0,2764.4285714285716,2021-01-17
1065.0,2765.714285714286,2021-01-18
0.0,3111.4285714285716,2021-01-19
2206.0,3366.5714285714284,2021-01-20
4492.0,4454.0,2021-01-21
6161.0,4301.857142857143,2021-01-22
6363.0,4454.714285714285,2021-01-23
10891.0,4836.857142857143,2021-01-24
0.0,5053.285714285715,2021-01-25
1070.0,5242.285714285715,2021-01-26
4881.0,5594.285714285715,2021-01-27
6007.0,5156.285714285715,2021-01-28
7484.0,6388.428571428572,2021-01-29
8827.0,6819.857142857143,2021-01-30
7825.0,6634.571428571428,2021-01-31
8625.0,6555.857142857143,2021-02-01
4090.0,6893.857142857143,2021-02-02
3584.0,7074.857142857143,2021-02-03
5456.0,6636.714285714285,2021-02-04
9850.0,5894.857142857143,2021-02-05
10094.0,6122.285714285715,2021-02-06
4758.0,6663.857142857143,2021-02-07
3432.0,6968.714285714285,2021-02-08
5682.0,7031.857142857143,2021-02-09
7375.0,7198.857142857143,2021-02-10
7590.0,7381.285714285715,2021-02-11
10292.0,7230.0,2021-02-12
11263.0,6998.0,2021-02-13
6035.0,6792.428571428572,2021-02-14
2373.0,7157.0,2021-02-15
4058.0,7517.428571428572,2021-02-16
5936.0,7126.142857142857,2021-02-17
10142.0,7235.0,2021-02-18
12815.0,7199.714285714285,2021-02-19
8524.0,7398.857142857143,2021-02-20
6797.0,7546.0,2021-02-21
2126.0,7210.142857142857,2021-02-22
5452.0,7078.714285714285,2021-02-23
6966.0,5861.0,2021-02-24
7791.0,6362.285714285715,2021-02-25
11895.0,7655.285714285715,2021-02-26
0.0,7729.285714285715,2021-02-27
10306.0,7965.714285714285,2021-02-28
11177.0,8447.714285714286,2021-03-01
5970.0,8970.142857142857,2021-03-02
8621.0,11227.0,2021-03-03
11165.0,11371.857142857143,2021-03-04
15552.0,11086.42857142857,2021-03-05
15798.0,10711.42857142857,2021-03-06
11320.0,11685.0,2021-03-07
