doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,422.85714285714283,2020-12-20
0.0,938.0,2020-12-21
0.0,1337.857142857143,2020-12-22
2960.0,1607.4285714285713,2020-12-23
3606.0,1754.4285714285713,2020-12-24
2799.0,1896.4285714285713,2020-12-25
1887.0,3011.1428571428573,2020-12-26
1029.0,3738.8571428571427,2020-12-27
994.0,4701.285714285715,2020-12-28
7803.0,5308.285714285715,2020-12-29
8054.0,5337.428571428572,2020-12-30
10343.0,5707.285714285715,2020-12-31
7048.0,6411.428571428572,2021-01-01
2091.0,6900.142857142857,2021-01-02
3618.0,7258.0,2021-01-03
5923.0,7571.142857142857,2021-01-04
11224.0,8660.57142857143,2021-01-05
10559.0,10378.0,2021-01-06
12535.0,11804.714285714286,2021-01-07
14674.0,11497.142857142857,2021-01-08
14113.0,12124.0,2021-01-09
13605.0,12876.57142857143,2021-01-10
3770.0,13463.57142857143,2021-01-11
15612.0,14004.142857142857,2021-01-12
15827.0,15495.57142857143,2021-01-13
16644.0,14662.0,2021-01-14
18458.0,15562.57142857143,2021-01-15
24553.0,13332.285714285714,2021-01-16
7770.0,12578.0,2021-01-17
10074.0,12165.285714285714,2021-01-18
0.0,11751.57142857143,2021-01-19
10547.0,11085.0,2021-01-20
13755.0,16175.142857142857,2021-01-21
15562.0,14736.0,2021-01-22
19887.0,16832.428571428572,2021-01-23
43401.0,18714.85714285714,2021-01-24
0.0,20023.85714285714,2021-01-25
14675.0,22134.571428571428,2021-01-26
23724.0,24041.14285714286,2021-01-27
22918.0,22077.571428571428,2021-01-28
30337.0,25339.428571428572,2021-01-29
33233.0,24490.285714285714,2021-01-30
29656.0,22438.85714285714,2021-01-31
22833.0,26047.85714285714,2021-02-01
8731.0,21714.0,2021-02-02
9364.0,21558.0,2021-02-03
48181.0,22727.714285714286,2021-02-04
0.0,22063.285714285714,2021-02-05
32141.0,22194.85714285714,2021-02-06
37844.0,24870.714285714286,2021-02-07
18182.0,21446.0,2021-02-08
9652.0,26179.428571428572,2021-02-09
28095.0,26346.14285714286,2021-02-10
24208.0,29347.571428571428,2021-02-11
33134.0,26750.14285714286,2021-02-12
33308.0,27732.428571428572,2021-02-13
58854.0,25878.714285714286,2021-02-14
0.0,26360.14285714286,2021-02-15
16528.0,26469.571428571428,2021-02-16
15119.0,32301.714285714286,2021-02-17
27578.0,25305.0,2021-02-18
33900.0,30061.428571428572,2021-02-19
74133.0,34089.0,2021-02-20
9877.0,31929.14285714286,2021-02-21
33295.0,31918.0,2021-02-22
44721.0,32669.428571428572,2021-02-23
0.0,27864.85714285714,2021-02-24
27500.0,32315.428571428572,2021-02-25
39160.0,34030.71428571428,2021-02-26
40501.0,33094.57142857143,2021-02-27
41031.0,36841.0,2021-02-28
45302.0,42073.0,2021-03-01
38168.0,42627.857142857145,2021-03-02
26225.0,44105.142857142855,2021-03-03
64124.0,46529.0,2021-03-04
43044.0,49400.142857142855,2021-03-05
50842.0,43947.57142857143,2021-03-06
57998.0,46381.28571428572,2021-03-07
65400.0,43798.142857142855,2021-03-08
0.0,44967.28571428572,2021-03-09
