doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,0.0,2020-12-21
0.0,0.0,2020-12-22
0.0,0.0,2020-12-23
0.0,0.0,2020-12-24
0.0,0.0,2020-12-25
0.0,5002.142857142857,2020-12-26
0.0,5948.428571428572,2020-12-27
0.0,5948.428571428572,2020-12-28
35015.0,5948.428571428572,2020-12-29
6624.0,7716.857142857143,2020-12-30
0.0,7716.857142857143,2020-12-31
0.0,10771.857142857143,2021-01-01
12379.0,6120.428571428572,2021-01-02
0.0,5218.428571428572,2021-01-03
21385.0,6648.0,2021-01-04
2455.0,8512.57142857143,2021-01-05
310.0,8961.0,2021-01-06
10007.0,10751.857142857143,2021-01-07
13052.0,9891.857142857143,2021-01-08
15518.0,10284.57142857143,2021-01-09
12536.0,10661.857142857143,2021-01-10
15365.0,11177.42857142857,2021-01-11
5204.0,11835.42857142857,2021-01-12
2951.0,12402.142857142857,2021-01-13
13616.0,12700.42857142857,2021-01-14
17658.0,12186.714285714286,2021-01-15
19485.0,11443.285714285714,2021-01-16
14624.0,11876.42857142857,2021-01-17
11769.0,10070.57142857143,2021-01-18
0.0,8470.0,2021-01-19
5983.0,8245.142857142857,2021-01-20
975.0,9809.0,2021-01-21
6454.0,11235.42857142857,2021-01-22
17911.0,14646.42857142857,2021-01-23
25571.0,16311.142857142857,2021-01-24
21754.0,19432.0,2021-01-25
23877.0,22957.0,2021-01-26
17636.0,25698.428571428572,2021-01-27
22821.0,28359.14285714286,2021-01-28
31129.0,31349.714285714286,2021-01-29
37101.0,31986.571428571428,2021-01-30
44196.0,30355.714285714286,2021-01-31
42688.0,29494.428571428572,2021-02-01
28335.0,32484.285714285714,2021-02-02
6220.0,27550.14285714286,2021-02-03
16792.0,30715.14285714286,2021-02-04
52058.0,28291.428571428572,2021-02-05
2562.0,26558.14285714286,2021-02-06
66351.0,25669.571428571428,2021-02-07
25722.0,24374.85714285714,2021-02-08
16202.0,20429.428571428572,2021-02-09
0.0,24544.571428571428,2021-02-10
7729.0,21233.714285714286,2021-02-11
24440.0,22963.285714285714,2021-02-12
31368.0,24242.0,2021-02-13
43175.0,26013.428571428572,2021-02-14
37829.0,27176.0,2021-02-15
25153.0,28309.571428571428,2021-02-16
12400.0,35827.142857142855,2021-02-17
15867.0,35044.857142857145,2021-02-18
32375.0,35287.0,2021-02-19
83991.0,36467.857142857145,2021-02-20
37699.0,34696.42857142857,2021-02-21
39524.0,35121.42857142857,2021-02-22
33419.0,34739.0,2021-02-23
0.0,28877.85714285714,2021-02-24
18842.0,32138.85714285714,2021-02-25
29698.0,36735.0,2021-02-26
42963.0,37053.142857142855,2021-02-27
60526.0,39088.0,2021-02-28
71697.0,41204.57142857143,2021-03-01
35646.0,42011.142857142855,2021-03-02
14244.0,42969.28571428572,2021-03-03
33658.0,43672.71428571428,2021-03-04
35344.0,47381.57142857143,2021-03-05
49670.0,42289.28571428572,2021-03-06
65450.0,43302.42857142857,2021-03-07
97659.0,42062.0,2021-03-08
0.0,44387.857142857145,2021-03-09
21336.0,44589.57142857143,2021-03-10
