doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,0.0,2020-12-21
0.0,0.0,2020-12-22
0.0,0.0,2020-12-23
0.0,0.0,2020-12-24
0.0,0.0,2020-12-25
0.0,6142.857142857143,2020-12-26
0.0,6142.857142857143,2020-12-27
0.0,6142.857142857143,2020-12-28
43000.0,6142.857142857143,2020-12-29
0.0,6142.857142857143,2020-12-30
0.0,6142.857142857143,2020-12-31
0.0,6142.857142857143,2021-01-01
0.0,0.0,2021-01-02
0.0,0.0,2021-01-03
0.0,0.0,2021-01-04
0.0,0.0,2021-01-05
0.0,0.0,2021-01-06
0.0,0.0,2021-01-07
0.0,0.0,2021-01-08
0.0,0.0,2021-01-09
0.0,0.0,2021-01-10
0.0,16571.428571428572,2021-01-11
0.0,16571.428571428572,2021-01-12
0.0,16571.428571428572,2021-01-13
116000.0,16571.428571428572,2021-01-14
0.0,16571.428571428572,2021-01-15
0.0,16571.428571428572,2021-01-16
0.0,24322.0,2021-01-17
0.0,8925.142857142857,2021-01-18
0.0,11911.714285714286,2021-01-19
54254.0,14813.857142857143,2021-01-20
8222.0,15674.714285714286,2021-01-21
20906.0,19391.0,2021-01-22
20315.0,21956.428571428572,2021-01-23
6026.0,14859.857142857143,2021-01-24
26014.0,22280.0,2021-01-25
17958.0,22636.714285714286,2021-01-26
4578.0,29617.714285714286,2021-01-27
60163.0,28756.85714285714,2021-01-28
23403.0,27702.85714285714,2021-01-29
69182.0,25736.428571428572,2021-01-30
0.0,30403.14285714286,2021-01-31
18636.0,26260.571428571428,2021-02-01
4193.0,22917.285714285714,2021-02-02
37245.0,19884.571428571428,2021-02-03
31165.0,27146.85714285714,2021-02-04
0.0,25487.85714285714,2021-02-05
47953.0,25374.0,2021-02-06
50836.0,23277.571428571428,2021-02-07
7023.0,22406.85714285714,2021-02-08
3396.0,25731.14285714286,2021-02-09
22570.0,24177.571428571428,2021-02-10
25070.0,22955.85714285714,2021-02-11
23270.0,25257.571428571428,2021-02-12
37078.0,25745.428571428572,2021-02-13
42284.0,24394.571428571428,2021-02-14
23135.0,24175.714285714286,2021-02-15
6811.0,25061.714285714286,2021-02-16
13114.0,30398.85714285714,2021-02-17
23538.0,28447.428571428572,2021-02-18
29472.0,30978.0,2021-02-19
74438.0,33889.57142857143,2021-02-20
28624.0,32016.14285714286,2021-02-21
40849.0,32413.571428571428,2021-02-22
27192.0,32568.14285714286,2021-02-23
0.0,28457.285714285714,2021-02-24
26320.0,33602.142857142855,2021-02-25
30554.0,27954.714285714286,2021-02-26
45662.0,37730.57142857143,2021-02-27
64638.0,39022.0,2021-02-28
1317.0,39796.142857142855,2021-03-01
95623.0,41521.71428571428,2021-03-02
9040.0,41541.0,2021-03-03
31739.0,39152.857142857145,2021-03-04
42633.0,50637.142857142855,2021-03-05
45797.0,36976.71428571428,2021-03-06
47921.0,37575.57142857143,2021-03-07
81707.0,38508.0,2021-03-08
0.0,38020.142857142855,2021-03-09
13232.0,36507.57142857143,2021-03-10
38266.0,45010.57142857143,2021-03-11
39218.0,33338.142857142855,2021-03-12
