doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,1030.2857142857142,2020-12-18
0.0,1030.2857142857142,2020-12-19
0.0,1030.2857142857142,2020-12-20
7212.0,1030.2857142857142,2020-12-21
0.0,1030.2857142857142,2020-12-22
0.0,1030.2857142857142,2020-12-23
0.0,1030.2857142857142,2020-12-24
0.0,1780.142857142857,2020-12-25
0.0,2167.285714285714,2020-12-26
0.0,2642.4285714285716,2020-12-27
12461.0,3076.285714285714,2020-12-28
2710.0,3581.5714285714284,2020-12-29
3326.0,3807.4285714285716,2020-12-30
3037.0,3914.285714285714,2020-12-31
3537.0,2185.714285714286,2021-01-01
1581.0,2222.4285714285716,2021-01-02
748.0,3709.0,2021-01-03
361.0,4239.714285714285,2021-01-04
2967.0,4850.571428571428,2021-01-05
13732.0,5461.714285714285,2021-01-06
6752.0,5789.142857142857,2021-01-07
7813.0,5907.857142857143,2021-01-08
5859.0,6233.0,2021-01-09
3040.0,5015.714285714285,2021-01-10
1192.0,4945.714285714285,2021-01-11
5243.0,4445.428571428572,2021-01-12
5211.0,4324.857142857143,2021-01-13
6262.0,4188.714285714285,2021-01-14
4311.0,4123.714285714285,2021-01-15
5015.0,3374.714285714286,2021-01-16
2087.0,2999.714285714286,2021-01-17
737.0,2898.5714285714284,2021-01-18
0.0,3225.714285714286,2021-01-19
2586.0,3311.4285714285716,2021-01-20
5554.0,4256.0,2021-01-21
6601.0,4329.857142857143,2021-01-22
5615.0,4486.285714285715,2021-01-23
8699.0,4757.285714285715,2021-01-24
1254.0,5450.142857142857,2021-01-25
1095.0,5695.285714285715,2021-01-26
4483.0,6161.857142857143,2021-01-27
10404.0,6406.714285714285,2021-01-28
8317.0,6685.142857142857,2021-01-29
8881.0,6741.714285714285,2021-01-30
10413.0,7909.571428571428,2021-01-31
3203.0,6423.285714285715,2021-02-01
1491.0,8542.0,2021-02-02
12658.0,8470.0,2021-02-03
0.0,7436.285714285715,2021-02-04
23148.0,7155.285714285715,2021-02-05
8377.0,7756.571428571428,2021-02-06
3177.0,5948.285714285715,2021-02-07
1236.0,8624.0,2021-02-08
5700.0,7307.571428571428,2021-02-09
0.0,6110.857142857143,2021-02-10
18730.0,7807.857142857143,2021-02-11
13933.0,7855.142857142857,2021-02-12
0.0,7647.142857142857,2021-02-13
15056.0,9090.142857142857,2021-02-14
1567.0,6414.428571428572,2021-02-15
4244.0,7108.428571428572,2021-02-16
10101.0,10751.285714285714,2021-02-17
0.0,10433.0,2021-02-18
18791.0,11933.857142857143,2021-02-19
25500.0,14199.142857142857,2021-02-20
12828.0,12756.142857142857,2021-02-21
12073.0,14633.285714285714,2021-02-22
20101.0,14309.285714285714,2021-02-23
0.0,13508.0,2021-02-24
13140.0,11913.142857142857,2021-02-25
16523.0,14540.57142857143,2021-02-26
19891.0,11937.0,2021-02-27
1664.0,13161.714285714286,2021-02-28
30465.0,13030.0,2021-03-01
1876.0,13011.142857142857,2021-03-02
8573.0,13271.857142857143,2021-03-03
12218.0,13164.57142857143,2021-03-04
16391.0,14139.142857142857,2021-03-05
21716.0,13871.142857142857,2021-03-06
913.0,15629.285714285714,2021-03-07
