doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,0.0,2020-12-21
0.0,0.0,2020-12-22
0.0,0.0,2020-12-23
0.0,0.0,2020-12-24
0.0,0.0,2020-12-25
0.0,0.0,2020-12-26
0.0,0.0,2020-12-27
0.0,0.0,2020-12-28
0.0,0.0,2020-12-29
0.0,0.0,2020-12-30
0.0,0.0,2020-12-31
0.0,0.0,2021-01-01
0.0,0.0,2021-01-02
0.0,0.0,2021-01-03
0.0,0.0,2021-01-04
0.0,0.0,2021-01-05
0.0,0.0,2021-01-06
0.0,0.0,2021-01-07
0.0,0.0,2021-01-08
0.0,0.0,2021-01-09
0.0,0.0,2021-01-10
0.0,0.0,2021-01-11
0.0,0.0,2021-01-12
0.0,0.0,2021-01-13
0.0,0.0,2021-01-14
0.0,0.0,2021-01-15
0.0,0.0,2021-01-16
0.0,0.0,2021-01-17
0.0,613.2857142857143,2021-01-18
0.0,1878.7142857142858,2021-01-19
0.0,3374.0,2021-01-20
4293.0,4884.428571428572,2021-01-21
8858.0,7051.857142857143,2021-01-22
10467.0,8147.0,2021-01-23
10573.0,8788.857142857143,2021-01-24
15172.0,9604.857142857143,2021-01-25
7666.0,11278.714285714286,2021-01-26
4493.0,11961.0,2021-01-27
10005.0,12451.57142857143,2021-01-28
20575.0,12696.42857142857,2021-01-29
15243.0,12697.857142857143,2021-01-30
14007.0,12687.42857142857,2021-01-31
16886.0,16309.142857142857,2021-02-01
7676.0,13808.42857142857,2021-02-02
4420.0,13448.285714285714,2021-02-03
35357.0,14008.57142857143,2021-02-04
3070.0,13285.0,2021-02-05
12722.0,13990.142857142857,2021-02-06
17929.0,14051.0,2021-02-07
11821.0,12410.142857142857,2021-02-08
12612.0,12496.57142857143,2021-02-09
4846.0,12835.57142857143,2021-02-10
23871.0,12686.42857142857,2021-02-11
3675.0,13478.57142857143,2021-02-12
15095.0,11676.857142857143,2021-02-13
16885.0,13609.857142857143,2021-02-14
17366.0,12662.142857142857,2021-02-15
0.0,12557.714285714286,2021-02-16
18377.0,18308.571428571428,2021-02-17
17237.0,20669.285714285714,2021-02-18
2944.0,20198.14285714286,2021-02-19
55351.0,24285.714285714286,2021-02-20
33410.0,21660.428571428572,2021-02-21
14068.0,20397.714285714286,2021-02-22
28613.0,22172.571428571428,2021-02-23
0.0,17175.714285714286,2021-02-24
8398.0,15690.714285714286,2021-02-25
15368.0,16554.571428571428,2021-02-26
20373.0,16671.14285714286,2021-02-27
23015.0,17822.714285714286,2021-02-28
20115.0,18161.714285714286,2021-03-01
29429.0,18281.571428571428,2021-03-02
8061.0,18674.714285714286,2021-03-03
10771.0,19207.571428571428,2021-03-04
16207.0,24314.0,2021-03-05
23125.0,20109.85714285714,2021-03-06
26745.0,20255.0,2021-03-07
55860.0,20670.285714285714,2021-03-08
0.0,22049.14285714286,2021-03-09
9077.0,22495.571428571428,2021-03-10
13678.0,27044.571428571428,2021-03-11
25859.0,19064.571428571428,2021-03-12
26250.0,22559.285714285714,2021-03-13
58588.0,22167.14285714286,2021-03-14
0.0,22243.14285714286,2021-03-15
