doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,0.0,2020-12-21
0.0,0.0,2020-12-22
0.0,0.0,2020-12-23
0.0,0.0,2020-12-24
0.0,0.0,2020-12-25
0.0,0.0,2020-12-26
0.0,0.0,2020-12-27
0.0,0.0,2020-12-28
0.0,0.0,2020-12-29
0.0,0.0,2020-12-30
0.0,0.0,2020-12-31
0.0,0.0,2021-01-01
0.0,0.0,2021-01-02
0.0,0.0,2021-01-03
0.0,0.0,2021-01-04
0.0,0.0,2021-01-05
0.0,0.0,2021-01-06
0.0,0.0,2021-01-07
0.0,0.0,2021-01-08
0.0,0.0,2021-01-09
0.0,0.0,2021-01-10
0.0,0.0,2021-01-11
0.0,0.0,2021-01-12
0.0,0.0,2021-01-13
0.0,0.0,2021-01-14
0.0,0.0,2021-01-15
0.0,0.0,2021-01-16
0.0,0.0,2021-01-17
0.0,551.7142857142857,2021-01-18
0.0,1297.5714285714287,2021-01-19
0.0,2005.5714285714287,2021-01-20
3862.0,2608.5714285714284,2021-01-21
5221.0,3111.714285714286,2021-01-22
4956.0,3295.285714285714,2021-01-23
4221.0,3635.1428571428573,2021-01-24
3522.0,3951.714285714286,2021-01-25
1285.0,4258.857142857143,2021-01-26
2379.0,4544.714285714285,2021-01-27
6078.0,4846.285714285715,2021-01-28
7371.0,4996.428571428572,2021-01-29
6957.0,5127.428571428572,2021-01-30
6332.0,5542.428571428572,2021-01-31
4573.0,5027.285714285715,2021-02-01
2202.0,4947.857142857143,2021-02-02
5284.0,5105.285714285715,2021-02-03
2472.0,5348.285714285715,2021-02-04
6815.0,5367.714285714285,2021-02-05
8059.0,5155.428571428572,2021-02-06
8033.0,4704.0,2021-02-07
4709.0,5417.285714285715,2021-02-08
716.0,5573.857142857143,2021-02-09
2124.0,5424.142857142857,2021-02-10
7465.0,5642.428571428572,2021-02-11
7911.0,6093.428571428572,2021-02-12
7011.0,5991.142857142857,2021-02-13
9561.0,6846.0,2021-02-14
7866.0,6017.714285714285,2021-02-15
0.0,6108.571428571428,2021-02-16
8108.0,7181.714285714285,2021-02-17
1667.0,7088.714285714285,2021-02-18
8547.0,7466.857142857143,2021-02-19
14523.0,9389.42857142857,2021-02-20
8910.0,8231.142857142857,2021-02-21
10513.0,9131.285714285714,2021-02-22
13458.0,9197.857142857143,2021-02-23
0.0,8355.42857142857,2021-02-24
7968.0,8639.0,2021-02-25
9013.0,8684.714285714286,2021-02-26
8626.0,7219.857142857143,2021-02-27
10895.0,8038.714285714285,2021-02-28
10833.0,8178.428571428572,2021-03-01
3204.0,8368.142857142857,2021-03-02
5732.0,8374.714285714286,2021-03-03
8946.0,8620.285714285714,2021-03-04
10341.0,9126.142857142857,2021-03-05
8672.0,9875.0,2021-03-06
12614.0,9056.142857142857,2021-03-07
14374.0,9411.714285714286,2021-03-08
8446.0,9833.285714285714,2021-03-09
0.0,10399.857142857143,2021-03-10
11435.0,12797.857142857143,2021-03-11
13292.0,10744.42857142857,2021-03-12
12638.0,10185.0,2021-03-13
29400.0,11078.42857142857,2021-03-14
