doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,4907.285714285715,2020-12-21
0.0,4907.285714285715,2020-12-22
0.0,4907.285714285715,2020-12-23
34351.0,4907.285714285715,2020-12-24
0.0,4907.285714285715,2020-12-25
0.0,4907.285714285715,2020-12-26
0.0,8678.857142857143,2020-12-27
0.0,5165.285714285715,2020-12-28
0.0,5165.285714285715,2020-12-29
26401.0,5165.285714285715,2020-12-30
9756.0,5165.285714285715,2020-12-31
0.0,9273.857142857143,2021-01-01
0.0,9273.857142857143,2021-01-02
0.0,5502.285714285715,2021-01-03
28760.0,4108.571428571428,2021-01-04
0.0,4108.571428571428,2021-01-05
0.0,4108.571428571428,2021-01-06
0.0,4108.571428571428,2021-01-07
0.0,10534.285714285714,2021-01-08
0.0,20331.0,2021-01-09
0.0,25100.14285714286,2021-01-10
73740.0,26631.85714285714,2021-01-11
68577.0,29882.571428571428,2021-01-12
33384.0,33538.57142857143,2021-01-13
10722.0,35285.28571428572,2021-01-14
22755.0,27264.714285714286,2021-01-15
25592.0,17468.0,2021-01-16
12227.0,18563.714285714286,2021-01-17
17596.0,21317.714285714286,2021-01-18
0.0,23587.0,2021-01-19
41054.0,24844.571428571428,2021-01-20
30000.0,25207.285714285714,2021-01-21
38640.0,26457.0,2021-01-22
34395.0,31162.571428571428,2021-01-23
14766.0,31516.14285714286,2021-01-24
26344.0,32499.85714285714,2021-01-25
32939.0,29271.0,2021-01-26
43529.0,33129.71428571428,2021-01-27
36886.0,33774.0,2021-01-28
16038.0,33482.71428571428,2021-01-29
61406.0,30275.285714285714,2021-01-30
19276.0,29935.428571428572,2021-01-31
24305.0,30280.85714285714,2021-02-01
10487.0,32133.85714285714,2021-02-02
41150.0,26224.571428571428,2021-02-03
39304.0,40000.857142857145,2021-02-04
29009.0,41316.71428571428,2021-02-05
20041.0,42687.28571428572,2021-02-06
115710.0,39595.28571428572,2021-02-07
33516.0,41470.71428571428,2021-02-08
20081.0,45148.142857142855,2021-02-09
19506.0,49837.0,2021-02-10
52432.0,38344.857142857145,2021-02-11
54751.0,39217.42857142857,2021-02-12
52863.0,39720.71428571428,2021-02-13
35265.0,50935.57142857143,2021-02-14
39624.0,47849.0,2021-02-15
23604.0,48284.857142857145,2021-02-16
98010.0,47329.42857142857,2021-02-17
30826.0,48413.71428571428,2021-02-18
57802.0,48529.142857142855,2021-02-19
46175.0,55161.142857142855,2021-02-20
42855.0,41159.71428571428,2021-02-21
40432.0,43118.42857142857,2021-02-22
70028.0,43918.42857142857,2021-02-23
0.0,48196.0,2021-02-24
44537.0,59581.0,2021-02-25
63402.0,58209.57142857143,2021-02-26
76118.0,48205.57142857143,2021-02-27
122550.0,61181.57142857143,2021-02-28
30832.0,63752.142857142855,2021-03-01
0.0,65465.57142857143,2021-03-02
90832.0,65708.71428571429,2021-03-03
62531.0,59004.28571428572,2021-03-04
75396.0,67910.85714285714,2021-03-05
77820.0,67910.85714285714,2021-03-06
75619.0,64586.857142857145,2021-03-07
93178.0,66441.14285714286,2021-03-08
0.0,72811.0,2021-03-09
