doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,0.0,2020-12-21
0.0,0.0,2020-12-22
0.0,0.0,2020-12-23
0.0,0.0,2020-12-24
0.0,5581.571428571428,2020-12-25
0.0,5581.571428571428,2020-12-26
0.0,5581.571428571428,2020-12-27
39071.0,5581.571428571428,2020-12-28
0.0,5581.571428571428,2020-12-29
0.0,5581.571428571428,2020-12-30
0.0,5581.571428571428,2020-12-31
0.0,0.0,2021-01-01
0.0,6669.857142857143,2021-01-02
0.0,6669.857142857143,2021-01-03
0.0,6669.857142857143,2021-01-04
46689.0,13920.857142857143,2021-01-05
0.0,13920.857142857143,2021-01-06
0.0,13920.857142857143,2021-01-07
50757.0,13920.857142857143,2021-01-08
0.0,15559.0,2021-01-09
0.0,15559.0,2021-01-10
0.0,15559.0,2021-01-11
58156.0,17371.14285714286,2021-01-12
0.0,17371.14285714286,2021-01-13
0.0,17371.14285714286,2021-01-14
63442.0,17371.14285714286,2021-01-15
0.0,9063.142857142857,2021-01-16
0.0,26479.428571428572,2021-01-17
0.0,26479.428571428572,2021-01-18
0.0,41502.142857142855,2021-01-19
121914.0,41502.142857142855,2021-01-20
0.0,41502.142857142855,2021-01-21
168601.0,41502.142857142855,2021-01-22
0.0,41502.142857142855,2021-01-23
0.0,58293.857142857145,2021-01-24
0.0,58293.857142857145,2021-01-25
0.0,48726.71428571428,2021-01-26
239456.0,48726.71428571428,2021-01-27
0.0,48726.71428571428,2021-01-28
101631.0,48726.71428571428,2021-01-29
0.0,69739.71428571429,2021-01-30
0.0,40947.42857142857,2021-01-31
0.0,47188.142857142855,2021-02-01
147091.0,40164.57142857143,2021-02-02
37910.0,49272.42857142857,2021-02-03
43685.0,49272.42857142857,2021-02-04
52466.0,49272.42857142857,2021-02-05
63755.0,47091.28571428572,2021-02-06
0.0,48218.142857142855,2021-02-07
0.0,49091.57142857143,2021-02-08
131823.0,51287.0,2021-02-09
45798.0,53194.857142857145,2021-02-10
49799.0,53194.857142857145,2021-02-11
67834.0,53194.857142857145,2021-02-12
77110.0,55677.142857142855,2021-02-13
0.0,56893.71428571428,2021-02-14
0.0,56583.42857142857,2021-02-15
149199.0,55080.142857142855,2021-02-16
54314.0,49407.71428571428,2021-02-17
47627.0,53903.28571428572,2021-02-18
57311.0,62431.0,2021-02-19
37403.0,48218.71428571428,2021-02-20
31469.0,43324.857142857145,2021-02-21
59694.0,42575.28571428572,2021-02-22
49713.0,43829.142857142855,2021-02-23
20057.0,49057.57142857143,2021-02-24
42380.0,51030.857142857145,2021-02-25
66088.0,57035.71428571428,2021-02-26
74002.0,58194.42857142857,2021-02-27
45282.0,58118.28571428572,2021-02-28
101728.0,60893.857142857145,2021-03-01
57824.0,59254.28571428572,2021-03-02
19524.0,57039.0,2021-03-03
61809.0,56396.28571428572,2021-03-04
54611.0,59170.71428571428,2021-03-05
58495.0,50910.142857142855,2021-03-06
40783.0,52005.57142857143,2021-03-07
121149.0,55378.42857142857,2021-03-08
0.0,58458.57142857143,2021-03-09
27192.0,63701.42857142857,2021-03-10
