doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,0.0,2020-12-21
0.0,0.0,2020-12-22
0.0,0.0,2020-12-23
0.0,0.0,2020-12-24
0.0,0.0,2020-12-25
0.0,0.0,2020-12-26
0.0,0.0,2020-12-27
0.0,563.1428571428571,2020-12-28
0.0,563.1428571428571,2020-12-29
0.0,563.1428571428571,2020-12-30
3942.0,563.1428571428571,2020-12-31
0.0,563.1428571428571,2021-01-01
0.0,563.1428571428571,2021-01-02
0.0,563.1428571428571,2021-01-03
0.0,0.0,2021-01-04
0.0,5637.428571428572,2021-01-05
0.0,7512.714285714285,2021-01-06
0.0,8608.285714285714,2021-01-07
39462.0,9536.57142857143,2021-01-08
13127.0,10838.57142857143,2021-01-09
7669.0,11817.0,2021-01-10
6498.0,14087.42857142857,2021-01-11
9114.0,9665.285714285714,2021-01-12
6849.0,9043.714285714286,2021-01-13
15893.0,8410.57142857143,2021-01-14
8507.0,8277.714285714286,2021-01-15
8776.0,6975.714285714285,2021-01-16
3237.0,7308.0,2021-01-17
5568.0,7497.0,2021-01-18
0.0,9367.142857142857,2021-01-19
9175.0,12413.285714285714,2021-01-20
17216.0,15664.57142857143,2021-01-21
21598.0,16208.285714285714,2021-01-22
30099.0,16782.428571428572,2021-01-23
25996.0,17782.571428571428,2021-01-24
9374.0,19801.428571428572,2021-01-25
4019.0,21571.0,2021-01-26
16176.0,18572.285714285714,2021-01-27
31348.0,18849.428571428572,2021-01-28
33985.0,20201.714285714286,2021-01-29
9108.0,19955.285714285714,2021-01-30
27936.0,24749.0,2021-01-31
18840.0,21485.85714285714,2021-02-01
2294.0,19235.285714285714,2021-02-02
49732.0,20999.714285714286,2021-02-03
8506.0,20435.571428571428,2021-02-04
18231.0,21463.85714285714,2021-02-05
21459.0,23532.571428571428,2021-02-06
23987.0,16428.0,2021-02-07
26038.0,18408.571428571428,2021-02-08
16775.0,18723.285714285714,2021-02-09
0.0,18640.428571428572,2021-02-10
22370.0,18852.0,2021-02-11
20434.0,19324.14285714286,2021-02-12
20879.0,16927.714285714286,2021-02-13
25468.0,21826.285714285714,2021-02-14
29343.0,21051.428571428572,2021-02-15
0.0,21373.85714285714,2021-02-16
34290.0,28382.714285714286,2021-02-17
16946.0,29276.14285714286,2021-02-18
22691.0,29497.571428571428,2021-02-19
69941.0,33850.0,2021-02-20
31722.0,28951.428571428572,2021-02-21
30893.0,31183.0,2021-02-22
30467.0,31394.428571428572,2021-02-23
0.0,25323.14285714286,2021-02-24
32567.0,25456.14285714286,2021-02-25
24171.0,25125.85714285714,2021-02-26
27442.0,25096.428571428572,2021-02-27
32653.0,25987.571428571428,2021-02-28
28581.0,25213.714285714286,2021-03-01
30261.0,29268.428571428572,2021-03-02
6238.0,29580.14285714286,2021-03-03
27150.0,32372.285714285714,2021-03-04
52554.0,41994.28571428572,2021-03-05
29624.0,37671.28571428572,2021-03-06
52198.0,39187.57142857143,2021-03-07
95935.0,38973.857142857145,2021-03-08
0.0,36988.42857142857,2021-03-09
16852.0,37285.57142857143,2021-03-10
