doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,205.71428571428572,2020-12-14
0.0,1327.7142857142858,2020-12-15
0.0,2220.4285714285716,2020-12-16
1440.0,2809.4285714285716,2020-12-17
7854.0,3721.1428571428573,2020-12-18
6249.0,4739.285714285715,2020-12-19
4123.0,6924.142857142857,2020-12-20
6382.0,8156.428571428572,2020-12-21
7127.0,7704.0,2020-12-22
15294.0,6913.571428571428,2020-12-23
10066.0,6973.285714285715,2020-12-24
4687.0,6271.428571428572,2020-12-25
716.0,6554.857142857143,2020-12-26
4541.0,4370.0,2020-12-27
1469.0,2932.0,2020-12-28
9111.0,9063.142857142857,2020-12-29
0.0,8960.857142857143,2020-12-30
0.0,8312.142857142857,2020-12-31
47605.0,8102.285714285715,2021-01-01
0.0,12826.857142857143,2021-01-02
0.0,12826.857142857143,2021-01-03
0.0,12826.857142857143,2021-01-04
42183.0,12648.57142857143,2021-01-05
0.0,12648.57142857143,2021-01-06
0.0,12648.57142857143,2021-01-07
46357.0,12648.57142857143,2021-01-08
0.0,16881.85714285714,2021-01-09
0.0,16881.85714285714,2021-01-10
0.0,16881.85714285714,2021-01-11
71816.0,19112.714285714286,2021-01-12
0.0,19112.714285714286,2021-01-13
0.0,19112.714285714286,2021-01-14
61973.0,19112.714285714286,2021-01-15
0.0,8853.285714285714,2021-01-16
0.0,15551.0,2021-01-17
0.0,15551.0,2021-01-18
0.0,6697.714285714285,2021-01-19
46884.0,17349.14285714286,2021-01-20
0.0,17349.14285714286,2021-01-21
0.0,17349.14285714286,2021-01-22
74560.0,24835.428571428572,2021-01-23
0.0,20860.14285714286,2021-01-24
0.0,24499.14285714286,2021-01-25
52404.0,32167.14285714286,2021-01-26
19057.0,26367.714285714286,2021-01-27
25473.0,31439.14285714286,2021-01-28
53676.0,33646.71428571428,2021-01-29
33964.0,27945.285714285714,2021-01-30
35500.0,28729.0,2021-01-31
15453.0,29608.0,2021-02-01
12494.0,26838.285714285714,2021-02-02
24543.0,27070.571428571428,2021-02-03
31626.0,26221.0,2021-02-04
34288.0,25610.14285714286,2021-02-05
35590.0,25985.571428571428,2021-02-06
29553.0,19016.85714285714,2021-02-07
11177.0,19869.571428571428,2021-02-08
15122.0,18752.14285714286,2021-02-09
-24238.0,18725.714285714286,2021-02-10
37595.0,18775.14285714286,2021-02-11
26466.0,19340.428571428572,2021-02-12
35405.0,18048.285714285714,2021-02-13
29899.0,22825.85714285714,2021-02-14
15134.0,20068.714285714286,2021-02-15
6077.0,18368.0,2021-02-16
9205.0,15624.857142857143,2021-02-17
18295.0,13360.42857142857,2021-02-18
14561.0,13754.142857142857,2021-02-19
16203.0,16131.142857142857,2021-02-20
14048.0,18500.428571428572,2021-02-21
17890.0,20885.428571428572,2021-02-22
22716.0,25232.14285714286,2021-02-23
25790.0,31346.714285714286,2021-02-24
34990.0,35520.142857142855,2021-02-25
44988.0,35966.42857142857,2021-02-26
59005.0,36403.28571428572,2021-02-27
43262.0,38577.28571428572,2021-02-28
21014.0,40079.857142857145,2021-03-01
25774.0,39310.142857142855,2021-03-02
41008.0,37607.857142857145,2021-03-03
45508.0,36846.28571428572,2021-03-04
39600.0,41481.28571428572,2021-03-05
47089.0,37799.28571428572,2021-03-06
37931.0,36358.857142857145,2021-03-07
