doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,62.42857142857143,2020-12-20
0.0,1712.142857142857,2020-12-21
0.0,2600.8571428571427,2020-12-22
437.0,2666.5714285714284,2020-12-23
11548.0,3164.8571428571427,2020-12-24
6221.0,3638.5714285714284,2020-12-25
460.0,3935.1428571428573,2020-12-26
3488.0,4907.428571428572,2020-12-27
3316.0,4770.142857142857,2020-12-28
2076.0,5368.0,2020-12-29
7243.0,6228.285714285715,2020-12-30
10587.0,6565.428571428572,2020-12-31
10406.0,6335.714285714285,2021-01-01
6482.0,8147.285714285715,2021-01-02
5848.0,8850.285714285714,2021-01-03
1708.0,10696.0,2021-01-04
14757.0,10517.285714285714,2021-01-05
12164.0,12240.285714285714,2021-01-06
23507.0,12903.857142857143,2021-01-07
9155.0,14279.57142857143,2021-01-08
18543.0,13759.857142857143,2021-01-09
10493.0,14287.142857142857,2021-01-10
11338.0,14682.285714285714,2021-01-11
11119.0,17060.14285714286,2021-01-12
15855.0,18250.0,2021-01-13
26273.0,19838.14285714286,2021-01-14
25800.0,19383.14285714286,2021-01-15
26872.0,17794.714285714286,2021-01-16
21610.0,20542.0,2021-01-17
8153.0,16788.714285714286,2021-01-18
0.0,18712.428571428572,2021-01-19
35086.0,21222.571428571428,2021-01-20
0.0,22595.285714285714,2021-01-21
39266.0,28269.714285714286,2021-01-22
44443.0,28269.714285714286,2021-01-23
31219.0,29855.571428571428,2021-01-24
47874.0,40260.28571428572,2021-01-25
0.0,42656.71428571428,2021-01-26
46187.0,36307.71428571428,2021-01-27
72833.0,40499.71428571428,2021-01-28
56041.0,45768.142857142855,2021-01-29
0.0,50087.857142857145,2021-01-30
60563.0,47453.28571428572,2021-01-31
84753.0,40152.42857142857,2021-02-01
30238.0,38005.57142857143,2021-02-02
27745.0,46319.42857142857,2021-02-03
21727.0,44895.857142857145,2021-02-04
41013.0,37410.28571428572,2021-02-05
58197.0,37453.0,2021-02-06
50598.0,37196.71428571428,2021-02-07
32354.0,38419.28571428572,2021-02-08
30537.0,37035.142857142855,2021-02-09
25951.0,39489.0,2021-02-10
30285.0,36793.857142857145,2021-02-11
31324.0,37459.57142857143,2021-02-12
75374.0,37654.57142857143,2021-02-13
31732.0,38558.71428571428,2021-02-14
37014.0,39909.57142857143,2021-02-15
31902.0,40083.857142857145,2021-02-16
32280.0,49558.857142857145,2021-02-17
39741.0,48701.71428571428,2021-02-18
32544.0,48282.142857142855,2021-02-19
141699.0,52386.57142857143,2021-02-20
25732.0,47775.142857142855,2021-02-21
34077.0,47466.142857142855,2021-02-22
60633.0,49284.0,2021-02-23
0.0,39614.71428571428,2021-02-24
37578.0,47359.57142857143,2021-02-25
45269.0,54414.28571428572,2021-02-26
74014.0,52999.857142857145,2021-02-27
79946.0,57928.57142857143,2021-02-28
83460.0,59591.857142857145,2021-03-01
50732.0,62239.71428571428,2021-03-02
34501.0,59951.57142857143,2021-03-03
49221.0,55706.57142857143,2021-03-04
63804.0,57176.42857142857,2021-03-05
57997.0,49929.0,2021-03-06
50231.0,54612.42857142857,2021-03-07
