doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,142.42857142857142,2020-12-20
0.0,142.42857142857142,2020-12-21
0.0,142.42857142857142,2020-12-22
997.0,142.42857142857142,2020-12-23
0.0,142.42857142857142,2020-12-24
0.0,166.42857142857142,2020-12-25
0.0,423.42857142857144,2020-12-26
0.0,371.57142857142856,2020-12-27
168.0,658.1428571428571,2020-12-28
1799.0,658.1428571428571,2020-12-29
634.0,709.1428571428571,2020-12-30
2006.0,709.1428571428571,2020-12-31
0.0,764.2857142857143,2021-01-01
357.0,585.1428571428571,2021-01-02
0.0,494.57142857142856,2021-01-03
554.0,305.57142857142856,2021-01-04
545.0,789.1428571428571,2021-01-05
0.0,772.4285714285714,2021-01-06
683.0,772.4285714285714,2021-01-07
3385.0,693.2857142857143,2021-01-08
240.0,615.4285714285714,2021-01-09
0.0,1428.5714285714287,2021-01-10
0.0,1807.857142857143,2021-01-11
0.0,1742.857142857143,2021-01-12
5692.0,1883.857142857143,2021-01-13
3338.0,1903.857142857143,2021-01-14
2930.0,1903.857142857143,2021-01-15
1227.0,1903.857142857143,2021-01-16
140.0,1463.142857142857,2021-01-17
0.0,1592.5714285714287,2021-01-18
0.0,1174.0,2021-01-19
2607.0,1364.7142857142858,2021-01-20
4244.0,1661.142857142857,2021-01-21
0.0,1661.142857142857,2021-01-22
2562.0,1661.142857142857,2021-01-23
2215.0,1687.2857142857142,2021-01-24
0.0,1511.142857142857,2021-01-25
0.0,1908.7142857142858,2021-01-26
2790.0,1542.7142857142858,2021-01-27
3011.0,1226.2857142857142,2021-01-28
2783.0,2662.8571428571427,2021-01-29
0.0,2662.8571428571427,2021-01-30
0.0,2762.285714285714,2021-01-31
10056.0,2397.5714285714284,2021-02-01
0.0,2000.0,2021-02-02
3486.0,2975.0,2021-02-03
458.0,3583.285714285714,2021-02-04
0.0,2146.714285714286,2021-02-05
6825.0,2803.714285714286,2021-02-06
4258.0,2305.714285714286,2021-02-07
0.0,3254.1428571428573,2021-02-08
4599.0,4546.857142857143,2021-02-09
0.0,3571.8571428571427,2021-02-10
7097.0,3403.4285714285716,2021-02-11
9049.0,3891.5714285714284,2021-02-12
0.0,3234.5714285714284,2021-02-13
3079.0,3389.8571428571427,2021-02-14
3417.0,2527.285714285714,2021-02-15
0.0,2276.0,2021-02-16
1087.0,4529.571428571428,2021-02-17
1059.0,4768.285714285715,2021-02-18
7290.0,4338.714285714285,2021-02-19
15775.0,5294.857142857143,2021-02-20
4750.0,5139.571428571428,2021-02-21
410.0,5017.285714285715,2021-02-22
6693.0,4715.714285714285,2021-02-23
0.0,3038.1428571428573,2021-02-24
203.0,3217.714285714286,2021-02-25
5179.0,3846.714285714286,2021-02-26
4032.0,2939.714285714286,2021-02-27
6007.0,2964.1428571428573,2021-02-28
4813.0,3793.1428571428573,2021-03-01
344.0,3092.714285714286,2021-03-02
171.0,3019.285714285714,2021-03-03
6006.0,3701.714285714286,2021-03-04
276.0,4169.0,2021-03-05
3518.0,4119.857142857143,2021-03-06
10784.0,4128.714285714285,2021-03-07
8084.0,3894.5714285714284,2021-03-08
